Capture ID,Library collection,Client build,Packets,Observed map ID count,Observed quest ID count,Campsite requests,Trading Post purchases,Gameplay coverage,Capture name,SHA256
SN-7D2A82AC2C59,Other / review collection,68453,834,2,0,4,0,Not certified,hellgarve_exiles_reach.pkt,7D2A82AC2C59975AA20895EE9A6D6BFF0F4E7603BA8179FE8DCBD296068792AE
SN-C74292392EDC,Shadowlands,68256,305518,19,1,2,0,Not certified,dump_12.0.7.68256_2026-06-21_TOT_ALLY_MYTHIC.pkt,C74292392EDC455251BADE9CBD534D96EDAB3E27D837BFB877FA8DFFC1DFE73D
SN-2D0B23A40100,Shadowlands,67823,2859,19,0,2,0,Not certified,dump_12.0.5.67823_GlypthAddRemoveHorde (1).pkt,2D0B23A40100D8A88BA99B7AB4EC1BBED5EC06D7DED683B01D333E94B1F82956
SN-8731C9337224,Shadowlands,67823,7296,21,1,2,0,Not certified,dump_12.0.5.67823_BattlePetHorde (1).pkt,8731C9337224C57B8F275D7010DEB1AF807476312838F84F85A8D8D7CFBE4095
SN-19B0E5D4B895,Legion,41488,88824,4,26,0,0,Not certified,dump_9.1.5.41488_2021-12-30_11-10-57.pkt,19B0E5D4B895F62B2407133459C46C0E86E461B820DAFEAD04394C4BE33516CD
SN-EA20E3D108BF,Legion,41488,86416,3,30,0,0,Not certified,dump_9.1.5.41488_2021-12-29_20-45-33.pkt,EA20E3D108BF8F1B6026C6ACBDB84454CADBCAB5F3DB0B9A69B8AE600A1C73E1
SN-F131DBBD5164,Legion,41488,127275,6,22,0,0,Not certified,dump_9.1.5.41488_2021-12-29_19-56-34.pkt,F131DBBD51641DAF6EBF3458F49B3F04B9947734B97F9090A9F4B912AED4EA27
SN-FD877C2318FE,Legion,41488,3486,5,0,0,0,Not certified,dump_9.1.5.41488_2021-12-16_15-48-54.pkt,FD877C2318FE2203C2E18B1CF38DB4BD4982A80CABA05A5F205224F026DF25D4
SN-0F9333C93CE9,Legion,41323,1066448,5,13,0,0,Not certified,dump_9.1.5.41323_2021-12-04_14-40-02.pkt,0F9333C93CE907FB9DE0B8D2B3B4A69F8FF94B620C11FCC321323FAD4D88A4CB
SN-31EC20C5EEE4,Legion,41323,285063,6,5,0,0,Not certified,dump_9.1.5.41323_2021-12-06_10-43-30.pkt,31EC20C5EEE4BB8F5751F7EAF1A593BB111AD904C59F274F926E1FC9661EE30B
SN-6C60497F18E7,Legion,41323,59243,9,7,0,0,Not certified,StormheimSceneHorde.pkt,6C60497F18E7D411CBB714DEA79947F568385C49BA67C6C559FEE063450BA0DA
SN-74ED1BC146E4,Legion,41323,2482138,6,13,0,0,Not certified,dump_9.1.5.41323_2021-12-04_21-15-35.pkt,74ED1BC146E461D447F12D484288C205FFDE13CC8D9F2FB165437A3F36E97DDF
SN-AE5C3A30943B,Legion,41323,151260,8,11,0,0,Not certified,dump_9.1.5.41323_2021-12-04_10-23-22.pkt,AE5C3A30943B1371EA38478F12772BB4347A300E344157AE5CBE9E6C0BE0FEAA
SN-B1F453C575E0,Legion,41323,369255,10,14,0,0,Not certified,dump_9.1.5.41323_2021-12-06_08-51-00.pkt,B1F453C575E066A7DEC853ED8AD32118F3B3EAE6E1A6579621C423017797116B
SN-C913C9E119D1,Legion,41323,127040,6,17,0,0,Not certified,dump_9.1.5.41323_2021-12-07_11-05-08.pkt,C913C9E119D1FF54F278BEB5687716479F62DF80CD9B909011C18CAB0C170B25
SN-07A887277530,Legion,41288,133393,10,14,0,0,Not certified,dump_9.1.5.41288_2021-12-02_18-37-35.pkt,07A8872775301D6B69B329D758E79B1A0E4B9C953C7A541FB86C950ACC6FB0CA
SN-C9D1385AFBA9,Legion,41288,228630,5,1,0,0,Not certified,dump_9.1.5.41288_2021-12-02_14-51-12.pkt,C9D1385AFBA9119C6F2FB5F0852DF9CBEE6421214DA990F21C734345787E5FD0
SN-DAA43EF99021,Legion,41288,15884,4,3,0,0,Not certified,dump_9.1.5.41288_2021-12-02_16-35-26.pkt,DAA43EF990213A396256F72F07DC67241A17C6CC8BD2E24D4E54E6A58DA30D6B
SN-E6BF9E29D677,Legion,41288,135621,8,7,0,0,Not certified,dump_9.1.5.41288_2021-12-02_17-54-08.pkt,E6BF9E29D677520BCC424FD8036992EBEAE01BFD031BD6FD7CB8F79F03889B54
SN-E71AF6F3F297,Legion,41288,195765,6,2,0,0,Not certified,dump_9.1.5.41288_2021-12-02_15-32-20.pkt,E71AF6F3F297A68DC730A4EC2D485E2AA9E0F613DEA31231204A35B0D5580F0E
SN-1A17F42BB905,Legion,41079,103156,4,28,0,0,Not certified,dump_9.1.5.41079_2021-11-23_10-19-46.pkt,1A17F42BB905826052E6630004B32A13052B725EE912334F92C71568DA8ACF2E
SN-31C7B9D353B8,Legion,41079,298749,7,1,0,0,Not certified,dump_9.1.5.41079_2021-11-28_21-07-24.pkt,31C7B9D353B8065E8D0CA8602926E9F57B1F15E7A0E99262982FB98926446D6D
SN-361F426DAF4E,Legion,41079,213719,5,0,0,0,Not certified,dump_9.1.5.41079_2021-11-29_13-06-22.pkt,361F426DAF4E1473BB87AB678E5FC371E4B1BC62B8BAA339CEAACB3201BB5DCE
SN-3DF3AECCD0F8,Legion,41079,3075,3,0,0,0,Not certified,dump_9.1.5.41079_2021-11-19_10-10-00.pkt,3DF3AECCD0F895CC5D0D8358D88D1EEAC206DAF012716D8C3FA0FBFC8F057A9D
SN-49DDD1C1D392,Legion,41079,982479,5,11,0,0,Not certified,dump_9.1.5.41079_2021-11-29_19-04-46.pkt,49DDD1C1D392986B7CAF66029468D93F88FCFABCCE5D052F709AB8002000C52B
SN-4CF92DB17D8E,Legion,41079,7045,4,1,0,0,Not certified,dump_9.1.5.41079_2021-11-25_11-52-58.pkt,4CF92DB17D8E6D6D46EEEDCE4BD5D0ECF7DDCAFD4EF7D077B2CFA12E125B2BB7
SN-53CD36A581B3,Legion,41079,29121,4,4,0,0,Not certified,dump_9.1.5.41079_2021-11-25_11-59-30.pkt,53CD36A581B30FFA209157FA05C97E4CE73AAD9875B38F6AA1C5E48C53B4D87E
SN-6198B056EE94,Legion,41079,64044,4,8,0,0,Not certified,dump_9.1.5.41079_2021-11-23_13-48-33.pkt,6198B056EE9493DBB4CF0511F9F214E4907247891F69CA2C48E6D14DE65EBF46
SN-74F1DA060BF5,Legion,41079,937296,9,9,0,0,Not certified,dump_9.1.5.41079_2021-11-27_14-29-04.pkt,74F1DA060BF59E3974D01831FB5B0FB35EF2B14302B86C32B706631F7F22B2AD
SN-802C3EE9A5D2,Legion,41079,256553,4,47,0,0,Not certified,dump_9.1.5.41079_2021-11-19_10-15-18.pkt,802C3EE9A5D22C5A313152C028ADFDC8CB7F4D952D1F1C764476C4F7FBC9BD1F
SN-872A718CA205,Legion,41079,63923,3,14,0,0,Not certified,dump_9.1.5.41079_2021-11-23_09-02-13.pkt,872A718CA2052FD55755C4CC49F165CC1E555B8B85581424EE8F55DC514E8434
SN-88EC508A73C2,Legion,41079,317267,5,2,0,0,Not certified,dump_9.1.5.41079_2021-11-28_20-18-12.pkt,88EC508A73C26F106CF79B0A7A680F2D84B95A4B3B9BFB43865731D3176993DF
SN-8B961553358F,Legion,41079,113441,4,20,0,0,Not certified,dump_9.1.5.41079_2021-11-25_10-05-15.pkt,8B961553358FB283655D6B8057A9B1CADF0E3B9DBC3D8BA0CD2BD70B7C5B0B60
SN-8F9D3D88A2E5,Legion,41079,206139,5,1,0,0,Not certified,dump_9.1.5.41079_2021-12-01_12-52-45.pkt,8F9D3D88A2E585E3FB9E5188462ABEA3380891917F798B21EDFDA23439B30222
SN-91451671B7AE,Legion,41079,180362,5,1,0,0,Not certified,dump_9.1.5.41079_2021-11-28_21-58-36.pkt,91451671B7AE2E190D1A0AE07316DDD24AD66BDBFBDA00963740FC347F6CB460
SN-943CA07C65F4,Legion,41079,59980,4,19,0,0,Not certified,dump_9.1.5.41079_2021-11-24_22-54-28.pkt,943CA07C65F487FF78FEF93AC368545626E5F95A8C6B1CF1ACF72885AF0EFE34
SN-9FCC829266E3,Legion,41079,104602,4,23,0,0,Not certified,dump_9.1.5.41079_2021-11-26_17-32-39.pkt,9FCC829266E354904232CA4D5DE77830C7E72FDD0DC6841FDD94F4BB9F2A7C3C
SN-A4AFF963876E,Legion,41079,25927,6,0,0,0,Not certified,dump_9.1.5.41079_2021-11-27_16-04-20.pkt,A4AFF963876E8258C765514F037506AB049BA63BF3DEC59E2B726D711C95FE3B
SN-B207E5E3894B,Legion,41079,258842,5,1,0,0,Not certified,dump_9.1.5.41079_2021-11-29_12-12-39.pkt,B207E5E3894B2835AE858F04ECBC14D9982F43411A3C4D12F86BEB7659E4B6D5
SN-B5328B7E6DF9,Legion,41079,115398,4,35,0,0,Not certified,dump_9.1.5.41079_2021-11-24_09-13-36.pkt,B5328B7E6DF9B3103B2483FE4DF685DAFF137497257A5C141BD8D5AFD16EADD9
SN-B91C674ED6F2,Legion,41079,71829,4,21,0,0,Not certified,dump_9.1.5.41079_2021-11-25_12-30-39.pkt,B91C674ED6F2C5B6209E1E9EAC429C5AAC605757D85A688425B152CB191257EB
SN-CE28BD23175F,Legion,41079,60091,4,0,0,0,Not certified,dump_9.1.5.41079_2021-11-28_15-36-40.pkt,CE28BD23175F40202B11F9D139994CA1E6C75902BCE16D92A7FB0497CF61AF46
SN-DFC784FA3F51,Legion,41079,190046,4,25,0,0,Not certified,dump_9.1.5.41079_2021-11-24_13-10-23.pkt,DFC784FA3F5169EF6131657F84963898BB352735B2FB1EEB8075B1E85ABB026C
SN-E7176DE55D88,Legion,41079,966495,6,1,0,0,Not certified,dump_9.1.5.41079_2021-11-29_20-24-00.pkt,E7176DE55D88C1428030B240404932869321F352ABE8BF2D6FE68509A0981D92
SN-F2AB5835F7B7,Legion,41079,121232,4,51,0,0,Not certified,dump_9.1.5.41079_2021-11-26_14-54-47.pkt,F2AB5835F7B7CF0CF4C40ECD9333E9A8FB4C04FFF9D1AB31AFBB2D53FA2BA2A9
SN-D9F2FE7DAD96,Legion,40725,22842,2,2,0,0,Not certified,dump_9.1.0.40725_2021-10-28_12-01-02.pkt,D9F2FE7DAD96C05AC10FEBE149D6FD234AA573457C1A42D472DACF1F47F8162C
SN-3B37E8C44ED6,Legion,40593,55808,5,0,0,0,Not certified,dump_9.1.0.40593_2021-10-19_13-08-23.pkt,3B37E8C44ED603609127F0F26CE078C0F30B02BB8ED1D3296788B61E6F5ACE49
SN-4399CB1A937D,Legion,40593,63517,4,24,0,0,Not certified,dump_9.1.0.40593_2021-10-14_07-54-46.pkt,4399CB1A937D5D7175A8ABB5B9EE6899A0222D3038A67F970948A851AD28157E
SN-BF62E35DE784,Legion,40593,24993,3,0,0,0,Not certified,dump_9.1.0.40593_2021-10-19_12-59-51.pkt,BF62E35DE784F0FD431A4BDA63DB58E0312E424F44E9140725EC396A98CFF723
SN-DB69BE13A686,Legion,40593,136639,6,29,0,0,Not certified,dump_9.1.0.40593_2021-10-17_19-42-28.pkt,DB69BE13A6869BD37EA2937CD53F067F6D0487E6505CB68BA215823DEE16D62F
SN-E0F0056EA15E,Legion,40593,169567,5,32,0,0,Not certified,dump_9.1.0.40593_2021-10-15_12-54-37.pkt,E0F0056EA15E9A05EF55905A5B31138434B7EEED14B3E30111E80F5FAD738A57
SN-F697300FDA7A,Legion,40593,138,1,0,0,0,Not certified,dump_9.1.0.40593_2021-10-19_12-58-50.pkt,F697300FDA7A47C36EB1961DDEC205D4A888C0BD3605B6E739BA87F7676C8FD4
SN-BEC4D154BFD3,Legion,40443,13132,6,3,0,0,Not certified,dump_9.1.0.40443_2021-10-06_18-33-20.pkt,BEC4D154BFD36607FDDA59BEC0BFEFBE6927BED74AABDD8A03B5BDEFAD60760F
SN-EA72B99F5E68,Legion,40443,97816,3,26,0,0,Not certified,dump_9.1.0.40443_2021-10-08_12-42-42.pkt,EA72B99F5E68299D31CA155E78D65955FDF131C84B3C7641B755F4E45A2019DC
SN-0099B28768C6,Shadowlands,40120,131681,4,14,0,0,Not certified,dump_9.1.0.40120_2021-09-23_20-13-39.pkt,0099B28768C6BD78FC5F311B7DB885D0F3294C5AC6A58CAAA13ED9818DBA2AA2
SN-096E69AAB102,Shadowlands,40120,326590,7,55,0,0,Not certified,dump_9.1.0.40120_2021-09-28_08-53-07.pkt,096E69AAB10234C17FA789C8FBDCBBC7965A6CE10680B6A147501660EB4E6E13
SN-09827396A5DA,Shadowlands,40120,271494,5,39,0,0,Not certified,dump_9.1.0.40120_2021-09-18_19-30-12.pkt,09827396A5DAE9DF5CAA64775B6B1E0C401940A8FB49662953FBB6FC92C8359D
SN-10CD071B2EFD,Legion,40120,58918,3,18,0,0,Not certified,dump_9.1.0.40120_2021-09-13_07-58-01.pkt,10CD071B2EFDB41D14B1A0EB94BDFA66C44626690554EBC730646ECCDE2C3221
